,manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class,register
1,audi,a4,1.8,1999,4,auto(l5),f,18,29,p,compact,21/04/20
2,audi,a4,1.8,1999,4,manual(m5),f,21,29,p,compact,08/06/20
3,audi,a4,2,2008,4,manual(m6),f,20,31,p,compact,25/03/20
4,audi,a4,2,2008,4,auto(av),f,21,30,p,compact,22/05/20
5,audi,a4,2.8,1999,6,auto(l5),f,16,26,p,compact,19/07/20
6,audi,a4,2.8,1999,6,manual(m5),f,18,26,p,compact,20/03/20
7,audi,a4,3.1,2008,6,auto(av),f,18,27,p,compact,12/03/20
8,audi,a4 quattro,1.8,1999,4,manual(m5),4,18,26,p,compact,02/06/20
9,audi,a4 quattro,1.8,1999,4,auto(l5),4,16,25,p,compact,26/01/20
10,audi,a4 quattro,2,2008,4,manual(m6),4,20,28,p,compact,01/04/20
11,audi,a4 quattro,2,2008,4,auto(s6),4,19,27,p,compact,19/02/20
12,audi,a4 quattro,2.8,1999,6,auto(l5),4,15,25,p,compact,09/06/20
13,audi,a4 quattro,2.8,1999,6,manual(m5),4,17,25,p,compact,11/04/20
14,audi,a4 quattro,3.1,2008,6,auto(s6),4,17,25,p,compact,10/02/20
15,audi,a4 quattro,3.1,2008,6,manual(m6),4,15,25,p,compact,24/05/20
16,audi,a6 quattro,2.8,1999,6,auto(l5),4,15,24,p,midsize,25/01/20
17,audi,a6 quattro,3.1,2008,6,auto(s6),4,17,25,p,midsize,25/04/20
18,audi,a6 quattro,4.2,2008,8,auto(s6),4,16,23,p,midsize,29/06/20
19,chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv,18/07/20
20,chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,11,15,e,suv,27/02/20
21,chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv,09/03/20
22,chevrolet,c1500 suburban 2wd,5.7,1999,8,auto(l4),r,13,17,r,suv,08/07/20
23,chevrolet,c1500 suburban 2wd,6,2008,8,auto(l4),r,12,17,r,suv,27/05/20
24,chevrolet,corvette,5.7,1999,8,manual(m6),r,16,26,p,2seater,21/02/20
25,chevrolet,corvette,5.7,1999,8,auto(l4),r,15,23,p,2seater,20/05/20
26,chevrolet,corvette,6.2,2008,8,manual(m6),r,16,26,p,2seater,30/05/20
