,Cod Dpto,Dpto,longitud,latitud
0,11,Bogotá D.C.,-74.0760439,4.59808
1,76,Valle del Cauca,-76.12337674536764,4.0639569
2,5,Antioquia,-75.444040009994,7.153843350000002
3,13,Cartagena D.T. y C.,-75.51444000000001,10.39972
4,41,Huila,-75.5900113,2.4738993
5,50,Meta,-73.00000859999999,3.5000086
6,66,Risaralda,-75.98422359999999,5.2102948
7,54,Norte de Santander,-73.0492505,8.4417924
8,17,Caldas,-75.28734709999999,5.3302514
9,25,Cundinamarca,-74.16667559999999,5.000008599999999
10,8,Barranquilla D.E.,-74.80130849999999,10.9799669
11,68,Santander,-73.25,7.0
12,63,Quindío,-75.72328979999999,4.3435926
13,73,Tolima,-75.25000859999999,3.7500086
14,19,Cauca,-76.662665,2.715645
15,47,Santa Marta D.T. y C.,-74.19904,11.240789999999999
16,20,Cesar,-73.50000859999999,9.3333415
17,88,Archipiélago de San Andrés Providencia y Santa Catalina,-81.61407507645221,12.38051665
18,85,Casanare,-71.50000859999999,5.5000085
19,52,Nariño,-78.00000859999999,1.5
20,8,Atlántico,-75.00000859999999,10.7500084
21,15,Boyacá,-72.82686170000001,5.627897900000001
22,23,Córdoba,-75.66666670000001,8.3333333
23,13,Bolívar,-74.333333,9.0
24,70,Sucre,-75.0,9.0
25,47,Magdalena,-74.50000859999999,10.0000085
26,44,La Guajira,-72.61357659999999,11.2780115
27,76,Buenaventura D.E.,-77.03116,3.8801
28,27,Chocó,-77.00000859999999,6.0000085
29,91,Amazonas,-71.9383333,-1.0197222
30,18,Caquetá,-74.1056838,1.1153385
31,86,Putumayo,-76.00000859999999,0.5000085999999999
32,81,Arauca,-71.00000859999999,6.6666755
33,97,Vaupés,-70.75000859999999,0.2500086
34,94,Guainía,-69.00000859999999,2.5000086
35,99,Vichada,-69.50000859999999,5.000008599999999
36,95,Guaviare,-72.8202864,1.6894444
